group,run,final_mean,final_std,best_mean,best_std,seed_count,individual_final,path,note
benthic_lpi10_maxw05_slice2_lsr00_hl15,refactored_e100_seed123,77.24,0.32,77.91,0.15,3,77.07;76.96;77.70,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/benthic_lpi10_maxw05_slice2_lsr00_hl15/refactored_e100_seed123/master_log.txt,
benthic_lpi3_maxw05_slice2_lsr00_hl15,refactored_e100_seed123,76.82,0.42,78.22,0.68,3,76.23;77.17;77.07,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/benthic_lpi3_maxw05_slice2_lsr00_hl15/refactored_e100_seed123/master_log.txt,
c100_pr001_nr00_maxw05,refactored_e500_seed123,82.25,0.12,82.34,0.17,3,82.14;82.18;82.42,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100_pr001_nr00_maxw05/refactored_e500_seed123/master_log.txt,
c100_pr001_nr01_maxw05,refactored_e500_seed123,81.71,,81.81,,1,81.71,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100_pr001_nr01_maxw05/refactored_e500_seed123/master_log.txt,
c100_pr001_nr03_maxw05,refactored_e500_seed123,81.02,,81.18,,1,81.02,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100_pr001_nr03_maxw05/refactored_e500_seed123/master_log.txt,
c100_pr005_nr03_maxw05,refactored_e500_seed23,79.17,0.15,79.25,0.06,2,79.02;79.32,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100_pr005_nr03_maxw05/refactored_e500_seed23/master_log.txt,
c100_pr005_nr04_maxw05,refactored_e500_seed123,78.04,0.06,78.18,0.15,3,78.06;77.96;78.11,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100_pr005_nr04_maxw05/refactored_e500_seed123/master_log.txt,
c100_pr005_nr05_maxw05,refactored_e500_seed123,77.06,,77.31,,1,77.06,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100_pr005_nr05_maxw05/refactored_e500_seed123/master_log.txt,
c100_pr005_nr05_maxw05,refactored_e500_seed23,76.51,0.46,76.56,0.41,2,76.97;76.05,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100_pr005_nr05_maxw05/refactored_e500_seed23/master_log.txt,
c100_pr01_nr00_maxw05,refactored_e500_seed123,80.79,0.20,80.95,0.17,3,80.84;80.52;81.01,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100_pr01_nr00_maxw05/refactored_e500_seed123/master_log.txt,
c100H_pr05_nr02_maxw05,refactored_e500_seed123,76.54,0.18,76.65,0.17,3,76.73;76.59;76.30,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c100H_pr05_nr02_maxw05/refactored_e500_seed123/master_log.txt,
c10_pr01_nr01_maxw05,refactored_e500_seed123,96.72,0.11,96.78,0.08,3,96.66;96.62;96.88,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c10_pr01_nr01_maxw05/refactored_e500_seed123/master_log.txt,
c10_pr05_nr01_maxw05,refactored_e500_seed123,95.93,0.19,96.03,0.12,3,95.68;96.14;95.97,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c10_pr05_nr01_maxw05/refactored_e500_seed123/master_log.txt,
c10_pr05_nr02_maxw05,refactored_e500_seed123,95.19,0.13,95.29,0.13,3,95.34;95.02;95.22,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c10_pr05_nr02_maxw05/refactored_e500_seed123/master_log.txt,
c10_pr05_nr03_maxw05,refactored_e300_seed123,94.20,,94.22,,1,94.20,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c10_pr05_nr03_maxw05/refactored_e300_seed123/master_log.txt,
c10_pr05_nr03_maxw05,refactored_e500_seed123,94.82,0.04,94.92,0.06,3,94.80;94.88;94.79,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/c10_pr05_nr03_maxw05/refactored_e500_seed123/master_log.txt,
CUB200,pr0.05nr0.2e250topology_daes_topdaes_hl15_del0.25lsr0.0_123_step,73.91,0.53,74.19,0.56,3,74.11;74.44;73.18,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/CUB200/pr0.05nr0.2e250topology_daes_topdaes_hl15_del0.25lsr0.0_123_step/master_log.txt,
CUB200,pr0.05nr0.2e250topology_daes_topdaes_hl15_del0.5lsr0.0_123_cosine,72.72,0.35,72.86,0.28,2,72.47;72.97,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/CUB200/pr0.05nr0.2e250topology_daes_topdaes_hl15_del0.5lsr0.0_123_cosine/master_log.txt,
plankton_lpi10_maxw05_slice2_hl15_lsr00,refactored_e100_seed123,92.75,0.08,93.19,0.21,2,92.69;92.81,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/plankton_lpi10_maxw05_slice2_hl15_lsr00/refactored_e100_seed123/master_log.txt,
plankton_lpi10_maxw05_slice2_hl15_lsr00,refactored_e100_seed12_seed3old_manual,92.68,0.14,,,3,92.69;92.81;92.53,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/plankton_lpi10_maxw05_slice2_hl15_lsr00/refactored_e100_seed123/seed_1/run.log | /home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/plankton_lpi10_maxw05_slice2_hl15_lsr00/refactored_e100_seed123/seed_2/run.log | /home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/plankton_lpi10_maxw05_slice2_hl15_lsr00/refactored_e100_seed123/seed_3_old/run.log,"manual from seed_1, seed_2, seed_3_old run.log final epoch acc"
plankton_lpi3_maxw05_slice2_hl15_lsr00,refactored_e100_seed123,92.76,0.14,93.10,0.06,3,92.57;92.89;92.81,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/plankton_lpi3_maxw05_slice2_hl15_lsr00/refactored_e100_seed123/master_log.txt,
treeversity_lpi10_maxw05_slice2_hl15_lsr00,refactored_e100_seed123,83.76,0.50,84.42,0.45,3,83.06;83.98;84.23,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model/treeversity_lpi10_maxw05_slice2_hl15_lsr00/refactored_e100_seed123/master_log.txt,
