paper_table,result_id,row_owner,dataset,setting,paper_value,stable_script_family,single_seed_validation_status,command_group
Table_cifar,NSE_C10_q010_eta01,NSE,CIFAR10,"q=0.1 eta=0.1","96.72 +/- 0.11",main_results,queued_in_full_matrix,main_synthetic_cifar10
Table_cifar,NSE_C10_q010_eta02,NSE,CIFAR10,"q=0.1 eta=0.2","96.58 +/- 0.05",main_results,queued_in_full_matrix,main_synthetic_cifar10
Table_cifar,NSE_C10_q010_eta03,NSE,CIFAR10,"q=0.1 eta=0.3","96.71 +/- 0.07",main_results,queued_in_full_matrix,main_synthetic_cifar10
Table_cifar,NSE_C10_q030_eta01,NSE,CIFAR10,"q=0.3 eta=0.1","96.33 +/- 0.08",main_results,queued_in_full_matrix,main_synthetic_cifar10
Table_cifar,NSE_C10_q030_eta02,NSE,CIFAR10,"q=0.3 eta=0.2","96.19 +/- 0.12",main_results,queued_in_full_matrix,main_synthetic_cifar10
Table_cifar,NSE_C10_q030_eta03,NSE,CIFAR10,"q=0.3 eta=0.3","96.03 +/- 0.08",main_results,queued_in_full_matrix,main_synthetic_cifar10
Table_cifar,NSE_C10_q050_eta01,NSE,CIFAR10,"q=0.5 eta=0.1","95.93 +/- 0.19",main_results,completed_noise_slice_seed1,noise_slice_cifar10
Table_cifar,NSE_C10_q050_eta02,NSE,CIFAR10,"q=0.5 eta=0.2","95.19 +/- 0.13",main_results,completed_noise_slice_seed1,noise_slice_cifar10
Table_cifar,NSE_C10_q050_eta03,NSE,CIFAR10,"q=0.5 eta=0.3","94.82 +/- 0.04",main_results,completed_noise_slice_seed1,noise_slice_cifar10
Table_cifar,NSE_C100_q001_eta01,NSE,CIFAR100,"q=0.01 eta=0.1","81.62 +/- 0.09",main_results,queued_in_full_matrix,main_synthetic_cifar100
Table_cifar,NSE_C100_q001_eta02,NSE,CIFAR100,"q=0.01 eta=0.2","81.34 +/- 0.17",main_results,queued_in_full_matrix,main_synthetic_cifar100
Table_cifar,NSE_C100_q001_eta03,NSE,CIFAR100,"q=0.01 eta=0.3","80.76 +/- 0.34",main_results,queued_in_full_matrix,main_synthetic_cifar100
Table_cifar,NSE_C100_q003_eta01,NSE,CIFAR100,"q=0.03 eta=0.1","81.10 +/- 0.11",main_results,queued_in_full_matrix,main_synthetic_cifar100
Table_cifar,NSE_C100_q003_eta02,NSE,CIFAR100,"q=0.03 eta=0.2","80.44 +/- 0.19",main_results,queued_in_full_matrix,main_synthetic_cifar100
Table_cifar,NSE_C100_q003_eta03,NSE,CIFAR100,"q=0.03 eta=0.3","79.47 +/- 0.06",main_results,queued_in_full_matrix,main_synthetic_cifar100
Table_cifar,NSE_C100_q005_eta01,NSE,CIFAR100,"q=0.05 eta=0.1","80.32 +/- 0.47",main_results,completed_noise_slice_seed1,noise_slice_cifar100
Table_cifar,NSE_C100_q005_eta02,NSE,CIFAR100,"q=0.05 eta=0.2","80.05 +/- 0.20",main_results,queued_in_full_matrix,main_synthetic_cifar100
Table_cifar,NSE_C100_q005_eta03,NSE,CIFAR100,"q=0.05 eta=0.3","79.22 +/- 0.14",main_results,completed_representative_seed1,main_cifar100_pr005_nr03
Table_extreme_noise,NSE_C100_q005_eta04,NSE,CIFAR100,"q=0.05 eta=0.4","78.04 +/- 0.06",main_results,completed_noise_slice_seed1,noise_slice_cifar100
Table_extreme_noise,NSE_C100_q005_eta05,NSE,CIFAR100,"q=0.05 eta=0.5","76.69 +/- 0.46",main_results,completed_noise_slice_seed1,noise_slice_cifar100
Table_no_noise,NSE_C100_q001_eta00,NSE,CIFAR100,"q=0.01 eta=0.0","82.25 +/- 0.12",main_results,queued_in_full_matrix,main_synthetic_cifar100_no_noise
Table_no_noise,NSE_C100_q005_eta00,NSE,CIFAR100,"q=0.05 eta=0.0","81.27 +/- 0.16",main_results,queued_in_full_matrix,main_synthetic_cifar100_no_noise
