id,name,label,meaning,seeds_completed,best_mean,best_std,final_mean,final_std,delta_vs_baseline,master_log,command_file,alignment_file
A01,A01_ablate_topology_daes_use_exp_both,K1/K2 topology-DAES -> exp,Remove topology-aware voting in both propagation passes.,3,76.7,0.14,76.5,0.2,-2.6700000000000017,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A01_ablate_topology_daes_use_exp_both/master_log.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A01_ablate_topology_daes_use_exp_both/command.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A01_ablate_topology_daes_use_exp_both/baseline_alignment.txt
A02,A02_ablate_stage2_topology_daes_use_exp_s2,K2 topology-DAES -> exp,"Keep topology-DAES in pass 1, replace pass 2 with exponential kernel.",3,78.76,0.16,78.56,0.05,-0.6099999999999994,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A02_ablate_stage2_topology_daes_use_exp_s2/master_log.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A02_ablate_stage2_topology_daes_use_exp_s2/command.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A02_ablate_stage2_topology_daes_use_exp_s2/baseline_alignment.txt
A03,A03_ablate_stage1_topology_daes_use_exp_s1,K1 topology-DAES -> exp,"Replace pass 1 with exponential kernel, keep topology-DAES in pass 2.",3,76.71,0.15,76.51,0.12,-2.6599999999999966,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A03_ablate_stage1_topology_daes_use_exp_s1/master_log.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A03_ablate_stage1_topology_daes_use_exp_s1/command.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A03_ablate_stage1_topology_daes_use_exp_s1/baseline_alignment.txt
A04,A04_ablate_adaptive_ri_use_uniform_ri05,adaptive r_i -> 0.5,Use a constant 0.5 gate instead of sample-wise confidence ratio.,3,79.32,0.11,79.14,0.11,-0.030000000000001137,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A04_ablate_adaptive_ri_use_uniform_ri05/master_log.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A04_ablate_adaptive_ri_use_uniform_ri05/command.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A04_ablate_adaptive_ri_use_uniform_ri05/baseline_alignment.txt
A05,A05_ablate_candidate_prior_unmask_model_evidence,w/o candidate prior,Remove omega mask from model evidence.,3,78.33,0.04,78.17,0.06,-1.0,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A05_ablate_candidate_prior_unmask_model_evidence/master_log.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A05_ablate_candidate_prior_unmask_model_evidence/command.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A05_ablate_candidate_prior_unmask_model_evidence/baseline_alignment.txt
A06,A06_ablate_model_view_maxw0_knn_only,model cap 0.0,"KNN-only second-stage evidence, no model-view contribution.",3,79.11,0.1,78.99,0.04,-0.18000000000000682,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A06_ablate_model_view_maxw0_knn_only/master_log.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A06_ablate_model_view_maxw0_knn_only/command.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A06_ablate_model_view_maxw0_knn_only/baseline_alignment.txt
A07,A07_stress_model_view_maxw1_full_model_influence,model cap 1.0,Allow full model-view influence after warm-up.,3,79.39,0.1,79.13,0.13,-0.04000000000000625,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A07_stress_model_view_maxw1_full_model_influence/master_log.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A07_stress_model_view_maxw1_full_model_influence/command.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A07_stress_model_view_maxw1_full_model_influence/baseline_alignment.txt
A08,A08_ablate_salvage_training_log_only,detect salvage only,Detect queue-salvaged samples but do not promote them into training.,3,78.8,0.34,78.67,0.29,-0.5,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A08_ablate_salvage_training_log_only/master_log.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A08_ablate_salvage_training_log_only/command.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A08_ablate_salvage_training_log_only/baseline_alignment.txt
A09,A09_ablate_queue_stability_short_history5,history_len 5,Use a short temporal queue.,3,79.1,0.07,78.97,0.09,-0.20000000000000284,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A09_ablate_queue_stability_short_history5/master_log.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A09_ablate_queue_stability_short_history5/command.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A09_ablate_queue_stability_short_history5/baseline_alignment.txt
A10,A10_ablate_queue_stability_long_history30,history_len 30,Use a long temporal queue; seed 3 is incomplete.,2,79.3,0.23000000000000398,79.08000000000001,0.21000000000000085,-0.0899999999999892,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A10_ablate_queue_stability_long_history30/master_log.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A10_ablate_queue_stability_long_history30/command.txt,/home/c201/公共/whm/PALS-SOFT/自适应LSR草稿_v3ref_only_20260409/out_ultimate/bayes_unified_融合可靠_自适应R_i_双视图模型预测_分开model_ablast/c100_pr005_nr03/A10_ablate_queue_stability_long_history30/baseline_alignment.txt
