condition,seed,PrecA,CovA,NRR_A,WriteCov,WrongWrite,SrcRecN,MassRecN,DamageMass,SourceDrift,AUCDrift,PromoteCov,CumWrongPromote
FREDIS_V2_PSS,1,0.915322,0.87248,0.635529,6e-05,0.0,0.181628,0.176437,0.00247,0.398731,0.314943,,
FREDIS_V2_PSS,2,0.915531,0.87488,0.642307,6e-05,0.0,0.181172,0.175749,0.002313,0.392882,0.303996,,
FREDIS_V2_PSS,3,0.917898,0.8716,0.643208,0.0,,0.182741,0.177635,0.002448,0.389178,0.304797,,
IRNet_V2_PSS,1,0.917355,0.8712,0.639108,0.0,,0.172307,0.086035,0.001305,0.06358,0.049929,,
IRNet_V2_PSS,2,0.916002,0.8724,0.638121,2e-05,0.0,0.17486,0.087198,0.001221,0.06561,0.050848,,
IRNet_V2_PSS,3,0.917171,0.87506,0.646524,0.0,,0.171,0.085367,0.001253,0.06439,0.049866,,
PALS_SARI_V2_PSS,1,0.925348,0.87982,0.640054,0.0,,0.109152,0.054525,0.000506,0.03705,0.022892,,
PALS_SARI_V2_PSS,2,0.923314,0.88178,0.646824,2e-05,0.0,0.101714,0.050824,0.00047,0.0354,0.021829,,
PALS_SARI_V2_PSS,3,0.925436,0.88058,0.65329,0.0,,0.104935,0.052451,0.00054,0.03708,0.022716,,
UPLLRS_V2_PSS,1,0.923373,0.88742,0.64924,0.0,,0.0,0.0,0.0,0.0,0.0,0.02738,0.322863
UPLLRS_V2_PSS,2,0.918446,0.88138,0.640712,0.0,,0.0,0.0,0.0,0.0,0.0,0.03126,0.362764
UPLLRS_V2_PSS,3,0.921586,0.88326,0.6513,0.0,,0.0,0.0,0.0,0.0,0.0,0.02928,0.314891
PiCOPlus_V2_PSS,1,0.604219,0.97468,0.587842,1.0,0.40316,1.0,0.149696,0.107385,1.787001,1.686109,,
PiCOPlus_V2_PSS,2,0.599729,0.97444,0.580388,1.0,0.40866,1.0,0.150179,0.106553,1.78798,1.687347,,
PiCOPlus_V2_PSS,3,0.614761,0.97446,0.599231,1.0,0.3932,1.0,0.155741,0.106505,1.786985,1.686307,,
